name,url,country,revision_id,quality_score
István Kühár,https://en.wikipedia.org/wiki/István_Kühár,Slovenia,1185528946,Stub
Matija Majar,https://en.wikipedia.org/wiki/Matija_Majar,Slovenia,1195006555,Start
Andrej Marinc,https://en.wikipedia.org/wiki/Andrej_Marinc,Slovenia,1249146653,Stub
Matej Arčon,https://en.wikipedia.org/wiki/Matej_Arčon,Slovenia,1232181251,Start
Anton Novačan,https://en.wikipedia.org/wiki/Anton_Novačan,Slovenia,1208186784,Start
Igor Papič,https://en.wikipedia.org/wiki/Igor_Papič,Slovenia,1240222916,Stub
Dominika Švarc Pipan,https://en.wikipedia.org/wiki/Dominika_Švarc_Pipan,Slovenia,1231574449,Start
Jože Podgoršek,https://en.wikipedia.org/wiki/Jože_Podgoršek,Slovenia,1100530431,Stub
Jožica Puhar,https://en.wikipedia.org/wiki/Jožica_Puhar,Slovenia,1217860670,Stub
Dušan Šinigoj,https://en.wikipedia.org/wiki/Dušan_Šinigoj,Slovenia,1242440118,Stub
Matija Škerbec,https://en.wikipedia.org/wiki/Matija_Škerbec,Slovenia,1180682572,B
Alenka Smerkolj,https://en.wikipedia.org/wiki/Alenka_Smerkolj,Slovenia,1172950113,Start
Emilija Stojmenova Duh,https://en.wikipedia.org/wiki/Emilija_Stojmenova_Duh,Slovenia,1246237465,Start
Patricija Šulin,https://en.wikipedia.org/wiki/Patricija_Šulin,Slovenia,1188651207,Stub
József Szakovics,https://en.wikipedia.org/wiki/József_Szakovics,Slovenia,1237352671,Start
Vilmos Tkálecz,https://en.wikipedia.org/wiki/Vilmos_Tkálecz,Slovenia,1212265925,Stub
Ludvik Toplak,https://en.wikipedia.org/wiki/Ludvik_Toplak,Slovenia,1215540371,Start
Asta Vrečko,https://en.wikipedia.org/wiki/Asta_Vrečko,Slovenia,1239433404,Start
Anton Fran Wagner,https://en.wikipedia.org/wiki/Anton_Fran_Wagner,Slovenia,1228384804,Stub
Nestor Ghiro,https://en.wikipedia.org/wiki/Nestor_Ghiro,Solomon Islands,1223783811,Stub
John Dean Kuku,https://en.wikipedia.org/wiki/John_Dean_Kuku,Solomon Islands,1146487474,Stub
Doreen Kuper,https://en.wikipedia.org/wiki/Doreen_Kuper,Solomon Islands,1071176674,Start
Eric Lawson (politician),https://en.wikipedia.org/wiki/Eric_Lawson_(politician),Solomon Islands,1103173015,Start
John Maneniaru,https://en.wikipedia.org/wiki/John_Maneniaru,Solomon Islands,1224038513,Stub
Andrew Manepora,https://en.wikipedia.org/wiki/Andrew_Manepora,Solomon Islands,1191281042,Stub
Julian Moti,https://en.wikipedia.org/wiki/Julian_Moti,Solomon Islands,1220965405,C
Bartholomew Parapolo,https://en.wikipedia.org/wiki/Bartholomew_Parapolo,Solomon Islands,1222021153,Stub
Daniel Suidani,https://en.wikipedia.org/wiki/Daniel_Suidani,Solomon Islands,1244108597,Start
Anthony Veke,https://en.wikipedia.org/wiki/Anthony_Veke,Solomon Islands,1249903984,Stub
Joseph Waleanisia,https://en.wikipedia.org/wiki/Joseph_Waleanisia,Solomon Islands,1103157537,Stub
Ajilon Jasper Nasiu,https://en.wikipedia.org/wiki/Ajilon_Jasper_Nasiu,Solomon Islands,1221556312,Stub
Hassan Adan Wadadid,https://en.wikipedia.org/wiki/Hassan_Adan_Wadadid,Somalia,1242398633,Start
Mohamoud Diriye Abdi Joof,https://en.wikipedia.org/wiki/Mohamoud_Diriye_Abdi_Joof,Somalia,1171759998,Stub
Abdillahi Fadal Iman,https://en.wikipedia.org/wiki/Abdillahi_Fadal_Iman,Somalia,1108538185,Stub
Ahmed Abdisalam Adan,https://en.wikipedia.org/wiki/Ahmed_Abdisalam_Adan,Somalia,1243727922,C
Abukar Umar Adani,https://en.wikipedia.org/wiki/Abukar_Umar_Adani,Somalia,1195269235,Stub
Abshir Aden Ferro,https://en.wikipedia.org/wiki/Abshir_Aden_Ferro,Somalia,1249386156,C
Aden Isaq Ahmed,https://en.wikipedia.org/wiki/Aden_Isaq_Ahmed,Somalia,1241124928,Start
Abdulahi Ahmed Afrah,https://en.wikipedia.org/wiki/Abdulahi_Ahmed_Afrah,Somalia,1062657842,Stub
Abdirahman Ahmed,https://en.wikipedia.org/wiki/Abdirahman_Ahmed,Somalia,1024854466,Stub
Abdullahi Mohamed Ali,https://en.wikipedia.org/wiki/Abdullahi_Mohamed_Ali,Somalia,1244290824,Start
Awad Ahmed Ashareh,https://en.wikipedia.org/wiki/Awad_Ahmed_Ashareh,Somalia,934134220,Stub
Ali Abdi Aware,https://en.wikipedia.org/wiki/Ali_Abdi_Aware,Somalia,1238577757,Start
Abdurahman Abdullahi Baadiyow,https://en.wikipedia.org/wiki/Abdurahman_Abdullahi_Baadiyow,Somalia,1226329759,Start
Balal Mohamed Osman,https://en.wikipedia.org/wiki/Balal_Mohamed_Osman,Somalia,1229646022,Stub
Bashir Bililiqo,https://en.wikipedia.org/wiki/Bashir_Bililiqo,Somalia,,
Hussein Hagi Bood,https://en.wikipedia.org/wiki/Hussein_Hagi_Bood,Somalia,1106104619,Stub
